Algorithm,Preprocessing,Fold,Type,SampleIndex,OriginalIndex,Class
KNN,raw,1,Train,0,0,setosa
KNN,raw,1,Test,0,1,setosa
KNN,raw,1,Train,1,2,setosa
KNN,raw,1,Train,2,3,setosa
KNN,raw,1,Train,3,4,setosa
KNN,raw,1,Train,4,5,setosa
KNN,raw,1,Train,5,6,setosa
KNN,raw,1,Train,6,7,setosa
KNN,raw,1,Train,7,8,setosa
KNN,raw,1,Test,1,9,setosa
KNN,raw,1,Train,8,10,versicolor
KNN,raw,1,Test,2,11,versicolor
KNN,raw,1,Train,9,12,versicolor
KNN,raw,1,Train,10,13,versicolor
KNN,raw,1,Train,11,14,versicolor
KNN,raw,1,Train,12,15,versicolor
KNN,raw,1,Train,13,16,versicolor
KNN,raw,1,Train,14,17,versicolor
KNN,raw,1,Train,15,18,versicolor
KNN,raw,1,Test,3,19,versicolor
KNN,raw,1,Train,16,20,virginica
KNN,raw,1,Train,17,21,virginica
KNN,raw,1,Train,18,22,virginica
KNN,raw,1,Train,19,23,virginica
KNN,raw,1,Train,20,24,virginica
KNN,raw,1,Test,4,25,virginica
KNN,raw,1,Train,21,26,virginica
KNN,raw,1,Test,5,27,virginica
KNN,raw,1,Train,22,28,virginica
KNN,raw,1,Train,23,29,virginica
KNN,raw,2,Train,0,0,setosa
KNN,raw,2,Train,1,1,setosa
KNN,raw,2,Train,2,2,setosa
KNN,raw,2,Train,3,3,setosa
KNN,raw,2,Train,4,4,setosa
KNN,raw,2,Test,0,5,setosa
KNN,raw,2,Train,5,6,setosa
KNN,raw,2,Test,1,7,setosa
KNN,raw,2,Test,2,8,setosa
KNN,raw,2,Train,6,9,setosa
KNN,raw,2,Train,7,10,versicolor
KNN,raw,2,Train,8,11,versicolor
KNN,raw,2,Train,9,12,versicolor
KNN,raw,2,Train,10,13,versicolor
KNN,raw,2,Train,11,14,versicolor
KNN,raw,2,Train,12,15,versicolor
KNN,raw,2,Train,13,16,versicolor
KNN,raw,2,Test,3,17,versicolor
KNN,raw,2,Train,14,18,versicolor
KNN,raw,2,Train,15,19,versicolor
KNN,raw,2,Train,16,20,virginica
KNN,raw,2,Train,17,21,virginica
KNN,raw,2,Train,18,22,virginica
