Algorithm,Preprocessing,Split,SampleIndex,OriginalIndex,Features,ActualClass,PredictedClass,Correct,Confidence
KNN,raw,80-20,0,24,6.5;3;5.8;2.2,virginica,virginica,1,0.0000
KNN,raw,80-20,1,25,7.6;3;6.6;2.1,virginica,virginica,1,0.0000
KNN,raw,80-20,2,26,4.9;2.5;4.5;1.7,virginica,versicolor,0,0.0000
KNN,raw,80-20,3,27,7.3;2.9;6.3;1.8,virginica,virginica,1,0.0000
KNN,raw,80-20,4,28,6.7;2.5;5.8;1.8,virginica,virginica,1,0.0000
KNN,raw,80-20,5,29,7.2;3.6;6.1;2.5,virginica,virginica,1,0.0000
KNN,raw,80-20,0,24,6.5;3;5.8;2.2,virginica,virginica,1,0.8000
KNN,raw,80-20,1,25,7.6;3;6.6;2.1,virginica,virginica,1,0.6000
KNN,raw,80-20,2,26,4.9;2.5;4.5;1.7,virginica,versicolor,0,0.8000
KNN,raw,80-20,3,27,7.3;2.9;6.3;1.8,virginica,virginica,1,0.6000
KNN,raw,80-20,4,28,6.7;2.5;5.8;1.8,virginica,virginica,1,0.8000
KNN,raw,80-20,5,29,7.2;3.6;6.1;2.5,virginica,virginica,1,0.6000
KNN,raw,80-20,0,24,6.5;3;5.8;2.2,virginica,virginica,1,0.5714
KNN,raw,80-20,1,25,7.6;3;6.6;2.1,virginica,virginica,1,0.5714
KNN,raw,80-20,2,26,4.9;2.5;4.5;1.7,virginica,versicolor,0,0.8571
KNN,raw,80-20,3,27,7.3;2.9;6.3;1.8,virginica,versicolor,0,0.5714
KNN,raw,80-20,4,28,6.7;2.5;5.8;1.8,virginica,virginica,1,0.5714
KNN,raw,80-20,5,29,7.2;3.6;6.1;2.5,virginica,versicolor,0,0.5714
DecisionTree,raw,80-20,0,24,6.5;3;5.8;2.2,virginica,virginica,1,1.0000
DecisionTree,raw,80-20,1,25,7.6;3;6.6;2.1,virginica,virginica,1,1.0000
DecisionTree,raw,80-20,2,26,4.9;2.5;4.5;1.7,virginica,versicolor,0,1.0000
DecisionTree,raw,80-20,3,27,7.3;2.9;6.3;1.8,virginica,virginica,1,1.0000
DecisionTree,raw,80-20,4,28,6.7;2.5;5.8;1.8,virginica,virginica,1,1.0000
