Algorithm,Preprocessing,Fold,Type,SampleIndex,OriginalIndex,Class
KNN,raw,1,Train,0,0,setosa
KNN,raw,1,Train,1,1,setosa
KNN,raw,1,Train,2,2,setosa
KNN,raw,1,Train,3,3,setosa
KNN,raw,1,Train,4,4,setosa
KNN,raw,1,Train,5,5,setosa
KNN,raw,1,Train,6,6,setosa
KNN,raw,1,Train,7,7,setosa
KNN,raw,1,Train,8,8,setosa
KNN,raw,1,Test,0,9,setosa
KNN,raw,1,Test,1,10,setosa
KNN,raw,1,Train,9,11,setosa
KNN,raw,1,Train,10,12,setosa
KNN,raw,1,Train,11,13,setosa
KNN,raw,1,Test,2,14,setosa
KNN,raw,1,Train,12,15,setosa
KNN,raw,1,Train,13,16,setosa
KNN,raw,1,Train,14,17,setosa
KNN,raw,1,Train,15,18,setosa
KNN,raw,1,Test,3,19,setosa
KNN,raw,1,Train,16,20,setosa
KNN,raw,1,Test,4,21,setosa
KNN,raw,1,Train,17,22,setosa
KNN,raw,1,Train,18,23,setosa
KNN,raw,1,Test,5,24,setosa
KNN,raw,1,Test,6,25,setosa
KNN,raw,1,Train,19,26,setosa
KNN,raw,1,Train,20,27,setosa
KNN,raw,1,Train,21,28,setosa
KNN,raw,1,Train,22,29,setosa
KNN,raw,1,Test,7,30,setosa
KNN,raw,1,Test,8,31,setosa
KNN,raw,1,Train,23,32,setosa
KNN,raw,1,Train,24,33,setosa
KNN,raw,1,Train,25,34,setosa
KNN,raw,1,Test,9,35,setosa
KNN,raw,1,Train,26,36,setosa
KNN,raw,1,Train,27,37,setosa
KNN,raw,1,Train,28,38,setosa
KNN,raw,1,Train,29,39,setosa
KNN,raw,1,Train,30,40,setosa
KNN,raw,1,Train,31,41,setosa
KNN,raw,1,Train,32,42,setosa
KNN,raw,1,Train,33,43,setosa
KNN,raw,1,Train,34,44,setosa
KNN,raw,1,Test,10,45,setosa
KNN,raw,1,Test,11,46,setosa
KNN,raw,1,Train,35,47,setosa
KNN,raw,1,Train,36,48,setosa
KNN,raw,1,Train,37,49,setosa
KNN,raw,1,Train,38,50,versicolor
KNN,raw,1,Train,39,51,versicolor
KNN,raw,1,Train,40,52,versicolor
KNN,raw,1,Train,41,53,versicolor
KNN,raw,1,Train,42,54,versicolor
KNN,raw,1,Train,43,55,versicolor
KNN,raw,1,Train,44,56,versicolor
KNN,raw,1,Test,12,57,versicolor
KNN,raw,1,Train,45,58,versicolor
KNN,raw,1,Test,13,59,versicolor
KNN,raw,1,Train,46,60,versicolor
KNN,raw,1,Train,47,61,versicolor
KNN,raw,1,Train,48,62,versicolor
KNN,raw,1,Test,14,63,versicolor
KNN,raw,1,Train,49,64,versicolor
KNN,raw,1,Train,50,65,versicolor
KNN,raw,1,Train,51,66,versicolor
KNN,raw,1,Train,52,67,versicolor
KNN,raw,1,Train,53,68,versicolor
KNN,raw,1,Train,54,69,versicolor
KNN,raw,1,Train,55,70,versicolor
KNN,raw,1,Train,56,71,versicolor
KNN,raw,1,Train,57,72,versicolor
KNN,raw,1,Train,58,73,versicolor
KNN,raw,1,Train,59,74,versicolor
KNN,raw,1,Test,15,75,versicolor
KNN,raw,1,Train,60,76,versicolor
KNN,raw,1,Train,61,77,versicolor
KNN,raw,1,Train,62,78,versicolor
KNN,raw,1,Train,63,79,versicolor
KNN,raw,1,Test,16,80,versicolor
KNN,raw,1,Test,17,81,versicolor
KNN,raw,1,Train,64,82,versicolor
KNN,raw,1,Train,65,83,versicolor
KNN,raw,1,Train,66,84,versicolor
KNN,raw,1,Train,67,85,versicolor
KNN,raw,1,Test,18,86,versicolor
KNN,raw,1,Train,68,87,versicolor
KNN,raw,1,Train,69,88,versicolor
KNN,raw,1,Train,70,89,versicolor
KNN,raw,1,Train,71,90,versicolor
KNN,raw,1,Test,19,91,versicolor
KNN,raw,1,Train,72,92,versicolor
KNN,raw,1,Train,73,93,versicolor
KNN,raw,1,Test,20,94,versicolor
KNN,raw,1,Train,74,95,versicolor
KNN,raw,1,Train,75,96,versicolor
KNN,raw,1,Train,76,97,versicolor
KNN,raw,1,Train,77,98,versicolor
KNN,raw,1,Train,78,99,versicolor
KNN,raw,1,Train,79,100,virginica
KNN,raw,1,Train,80,101,virginica
KNN,raw,1,Train,81,102,virginica
KNN,raw,1,Train,82,103,virginica
KNN,raw,1,Train,83,104,virginica
KNN,raw,1,Train,84,105,virginica
KNN,raw,1,Train,85,106,virginica
KNN,raw,1,Train,86,107,virginica
KNN,raw,1,Train,87,108,virginica
KNN,raw,1,Train,88,109,virginica
KNN,raw,1,Train,89,110,virginica
KNN,raw,1,Train,90,111,virginica
KNN,raw,1,Train,91,112,virginica
KNN,raw,1,Train,92,113,virginica
KNN,raw,1,Test,21,114,virginica
KNN,raw,1,Train,93,115,virginica
KNN,raw,1,Train,94,116,virginica
KNN,raw,1,Train,95,117,virginica
KNN,raw,1,Test,22,118,virginica
KNN,raw,1,Train,96,119,virginica
KNN,raw,1,Train,97,120,virginica
KNN,raw,1,Train,98,121,virginica
KNN,raw,1,Train,99,122,virginica
KNN,raw,1,Train,100,123,virginica
KNN,raw,1,Test,23,124,virginica
KNN,raw,1,Train,101,125,virginica
KNN,raw,1,Train,102,126,virginica
KNN,raw,1,Train,103,127,virginica
KNN,raw,1,Train,104,128,virginica
KNN,raw,1,Train,105,129,virginica
KNN,raw,1,Train,106,130,virginica
KNN,raw,1,Train,107,131,virginica
KNN,raw,1,Train,108,132,virginica
KNN,raw,1,Test,24,133,virginica
KNN,raw,1,Train,109,134,virginica
KNN,raw,1,Train,110,135,virginica
KNN,raw,1,Train,111,136,virginica
KNN,raw,1,Test,25,137,virginica
KNN,raw,1,Train,112,138,virginica
KNN,raw,1,Train,113,139,virginica
KNN,raw,1,Train,114,140,virginica
KNN,raw,1,Test,26,141,virginica
KNN,raw,1,Test,27,142,virginica
KNN,raw,1,Train,115,143,virginica
KNN,raw,1,Train,116,144,virginica
KNN,raw,1,Train,117,145,virginica
KNN,raw,1,Train,118,146,virginica
KNN,raw,1,Train,119,147,virginica
KNN,raw,1,Test,28,148,virginica
KNN,raw,1,Test,29,149,virginica
KNN,raw,2,Train,0,0,setosa
KNN,raw,2,Train,1,1,setosa
KNN,raw,2,Train,2,2,setosa
KNN,raw,2,Test,0,3,setosa
KNN,raw,2,Test,1,4,setosa
KNN,raw,2,Train,3,5,setosa
KNN,raw,2,Train,4,6,setosa
KNN,raw,2,Train,5,7,setosa
KNN,raw,2,Train,6,8,setosa
KNN,raw,2,Train,7,9,setosa
KNN,raw,2,Train,8,10,setosa
KNN,raw,2,Train,9,11,setosa
KNN,raw,2,Train,10,12,setosa
KNN,raw,2,Test,2,13,setosa
KNN,raw,2,Train,11,14,setosa
KNN,raw,2,Train,12,15,setosa
KNN,raw,2,Test,3,16,setosa
KNN,raw,2,Train,13,17,setosa
KNN,raw,2,Train,14,18,setosa
KNN,raw,2,Train,15,19,setosa
KNN,raw,2,Train,16,20,setosa
KNN,raw,2,Train,17,21,setosa
KNN,raw,2,Train,18,22,setosa
KNN,raw,2,Train,19,23,setosa
KNN,raw,2,Train,20,24,setosa
KNN,raw,2,Train,21,25,setosa
KNN,raw,2,Train,22,26,setosa
KNN,raw,2,Train,23,27,setosa
KNN,raw,2,Train,24,28,setosa
KNN,raw,2,Test,4,29,setosa
KNN,raw,2,Train,25,30,setosa
KNN,raw,2,Train,26,31,setosa
KNN,raw,2,Train,27,32,setosa
KNN,raw,2,Train,28,33,setosa
KNN,raw,2,Test,5,34,setosa
KNN,raw,2,Train,29,35,setosa
KNN,raw,2,Test,6,36,setosa
KNN,raw,2,Train,30,37,setosa
KNN,raw,2,Test,7,38,setosa
KNN,raw,2,Test,8,39,setosa
KNN,raw,2,Train,31,40,setosa
KNN,raw,2,Test,9,41,setosa
KNN,raw,2,Train,32,42,setosa
KNN,raw,2,Train,33,43,setosa
KNN,raw,2,Train,34,44,setosa
KNN,raw,2,Train,35,45,setosa
KNN,raw,2,Train,36,46,setosa
KNN,raw,2,Train,37,47,setosa
KNN,raw,2,Train,38,48,setosa
KNN,raw,2,Train,39,49,setosa
KNN,raw,2,Train,40,50,versicolor
KNN,raw,2,Test,10,51,versicolor
KNN,raw,2,Test,11,52,versicolor
KNN,raw,2,Train,41,53,versicolor
KNN,raw,2,Train,42,54,versicolor
KNN,raw,2,Train,43,55,versicolor
KNN,raw,2,Train,44,56,versicolor
KNN,raw,2,Train,45,57,versicolor
KNN,raw,2,Test,12,58,versicolor
KNN,raw,2,Train,46,59,versicolor
KNN,raw,2,Train,47,60,versicolor
KNN,raw,2,Train,48,61,versicolor
KNN,raw,2,Train,49,62,versicolor
KNN,raw,2,Train,50,63,versicolor
KNN,raw,2,Train,51,64,versicolor
KNN,raw,2,Train,52,65,versicolor
KNN,raw,2,Train,53,66,versicolor
KNN,raw,2,Train,54,67,versicolor
KNN,raw,2,Train,55,68,versicolor
KNN,raw,2,Test,13,69,versicolor
KNN,raw,2,Train,56,70,versicolor
KNN,raw,2,Train,57,71,versicolor
KNN,raw,2,Test,14,72,versicolor
KNN,raw,2,Train,58,73,versicolor
KNN,raw,2,Train,59,74,versicolor
KNN,raw,2,Train,60,75,versicolor
KNN,raw,2,Train,61,76,versicolor
KNN,raw,2,Train,62,77,versicolor
KNN,raw,2,Train,63,78,versicolor
KNN,raw,2,Train,64,79,versicolor
KNN,raw,2,Train,65,80,versicolor
KNN,raw,2,Train,66,81,versicolor
KNN,raw,2,Test,15,82,versicolor
KNN,raw,2,Test,16,83,versicolor
KNN,raw,2,Test,17,84,versicolor
KNN,raw,2,Test,18,85,versicolor
KNN,raw,2,Train,67,86,versicolor
KNN,raw,2,Train,68,87,versicolor
KNN,raw,2,Train,69,88,versicolor
KNN,raw,2,Train,70,89,versicolor
KNN,raw,2,Train,71,90,versicolor
KNN,raw,2,Train,72,91,versicolor
KNN,raw,2,Train,73,92,versicolor
KNN,raw,2,Train,74,93,versicolor
KNN,raw,2,Train,75,94,versicolor
KNN,raw,2,Test,19,95,versicolor
KNN,raw,2,Train,76,96,versicolor
KNN,raw,2,Test,20,97,versicolor
KNN,raw,2,Train,77,98,versicolor
KNN,raw,2,Train,78,99,versicolor
KNN,raw,2,Train,79,100,virginica
KNN,raw,2,Train,80,101,virginica
KNN,raw,2,Test,21,102,virginica
KNN,raw,2,Train,81,103,virginica
KNN,raw,2,Train,82,104,virginica
KNN,raw,2,Train,83,105,virginica
KNN,raw,2,Train,84,106,virginica
KNN,raw,2,Test,22,107,virginica
KNN,raw,2,Train,85,108,virginica
KNN,raw,2,Test,23,109,virginica
KNN,raw,2,Test,24,110,virginica
KNN,raw,2,Train,86,111,virginica
KNN,raw,2,Test,25,112,virginica
KNN,raw,2,Train,87,113,virginica
KNN,raw,2,Train,88,114,virginica
KNN,raw,2,Train,89,115,virginica
KNN,raw,2,Train,90,116,virginica
KNN,raw,2,Test,26,117,virginica
KNN,raw,2,Train,91,118,virginica
KNN,raw,2,Train,92,119,virginica
KNN,raw,2,Test,27,120,virginica
KNN,raw,2,Train,93,121,virginica
KNN,raw,2,Train,94,122,virginica
KNN,raw,2,Train,95,123,virginica
KNN,raw,2,Train,96,124,virginica
KNN,raw,2,Train,97,125,virginica
KNN,raw,2,Train,98,126,virginica
KNN,raw,2,Train,99,127,virginica
KNN,raw,2,Train,100,128,virginica
KNN,raw,2,Train,101,129,virginica
KNN,raw,2,Train,102,130,virginica
KNN,raw,2,Test,28,131,virginica
