Algorithm,Preprocessing,Split,Type,SampleIndex,OriginalIndex,Features,Class
KNN,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
KNN,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
KNN,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
KNN,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
KNN,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
KNN,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
KNN,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
KNN,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,10,10,5.4;3.7;1.5;0.2,setosa
KNN,raw,80-20,Train,11,11,4.8;3.4;1.6;0.2,setosa
KNN,raw,80-20,Train,12,12,4.8;3;1.4;0.1,setosa
KNN,raw,80-20,Train,13,13,4.3;3;1.1;0.1,setosa
KNN,raw,80-20,Train,14,14,5.8;4;1.2;0.2,setosa
KNN,raw,80-20,Train,15,15,5.7;4.4;1.5;0.4,setosa
KNN,raw,80-20,Train,16,16,5.4;3.9;1.3;0.4,setosa
KNN,raw,80-20,Train,17,17,5.1;3.5;1.4;0.3,setosa
KNN,raw,80-20,Train,18,18,5.7;3.8;1.7;0.3,setosa
KNN,raw,80-20,Train,19,19,5.1;3.8;1.5;0.3,setosa
KNN,raw,80-20,Train,20,20,5.4;3.4;1.7;0.2,setosa
KNN,raw,80-20,Train,21,21,5.1;3.7;1.5;0.4,setosa
KNN,raw,80-20,Train,22,22,4.6;3.6;1;0.2,setosa
KNN,raw,80-20,Train,23,23,5.1;3.3;1.7;0.5,setosa
KNN,raw,80-20,Train,24,24,4.8;3.4;1.9;0.2,setosa
KNN,raw,80-20,Train,25,25,5;3;1.6;0.2,setosa
