Algorithm,Preprocessing,Split,SampleIndex,OriginalIndex,Features,ActualClass,PredictedClass,Correct,Confidence
KNN,raw,80-20,0,120,6.9;3.2;5.7;2.3,virginica,virginica,1,1.0000
KNN,raw,80-20,1,121,5.6;2.8;4.9;2,virginica,virginica,1,1.0000
KNN,raw,80-20,2,122,7.7;2.8;6.7;2,virginica,virginica,1,1.0000
KNN,raw,80-20,3,123,6.3;2.7;4.9;1.8,virginica,versicolor,0,0.6667
KNN,raw,80-20,4,124,6.7;3.3;5.7;2.1,virginica,virginica,1,1.0000
KNN,raw,80-20,5,125,7.2;3.2;6;1.8,virginica,virginica,1,1.0000
KNN,raw,80-20,6,126,6.2;2.8;4.8;1.8,virginica,versicolor,0,1.0000
KNN,raw,80-20,7,127,6.1;3;4.9;1.8,virginica,versicolor,0,1.0000
KNN,raw,80-20,8,128,6.4;2.8;5.6;2.1,virginica,virginica,1,1.0000
KNN,raw,80-20,9,129,7.2;3;5.8;1.6,virginica,virginica,1,1.0000
KNN,raw,80-20,10,130,7.4;2.8;6.1;1.9,virginica,virginica,1,1.0000
KNN,raw,80-20,11,131,7.9;3.8;6.4;2,virginica,virginica,1,1.0000
KNN,raw,80-20,12,132,6.4;2.8;5.6;2.2,virginica,virginica,1,1.0000
KNN,raw,80-20,13,133,6.3;2.8;5.1;1.5,virginica,versicolor,0,1.0000
KNN,raw,80-20,14,134,6.1;2.6;5.6;1.4,virginica,virginica,1,0.6667
KNN,raw,80-20,15,135,7.7;3;6.1;2.3,virginica,virginica,1,1.0000
KNN,raw,80-20,16,136,6.3;3.4;5.6;2.4,virginica,virginica,1,1.0000
KNN,raw,80-20,17,137,6.4;3.1;5.5;1.8,virginica,virginica,1,1.0000
KNN,raw,80-20,18,138,6;3;4.8;1.8,virginica,versicolor,0,1.0000
KNN,raw,80-20,19,139,6.9;3.1;5.4;2.1,virginica,virginica,1,1.0000
KNN,raw,80-20,20,140,6.7;3.1;5.6;2.4,virginica,virginica,1,1.0000
KNN,raw,80-20,21,141,6.9;3.1;5.1;2.3,virginica,virginica,1,1.0000
KNN,raw,80-20,22,142,5.8;2.7;5.1;1.9,virginica,virginica,1,0.6667
KNN,raw,80-20,23,143,6.8;3.2;5.9;2.3,virginica,virginica,1,1.0000
KNN,raw,80-20,24,144,6.7;3.3;5.7;2.5,virginica,virginica,1,1.0000
KNN,raw,80-20,25,145,6.7;3;5.2;2.3,virginica,virginica,1,1.0000
KNN,raw,80-20,26,146,6.3;2.5;5;1.9,virginica,versicolor,0,0.6667
KNN,raw,80-20,27,147,6.5;3;5.2;2,virginica,virginica,1,1.0000
KNN,raw,80-20,28,148,6.2;3.4;5.4;2.3,virginica,virginica,1,1.0000
