Algorithm,Preprocessing,Fold,Type,SampleIndex,OriginalIndex,Class
KNN,raw,1,Train,0,0,Cammeo
KNN,raw,1,Test,0,1,Cammeo
KNN,raw,1,Train,1,2,Cammeo
KNN,raw,1,Test,1,3,Cammeo
KNN,raw,1,Train,2,4,Cammeo
KNN,raw,1,Train,3,5,Cammeo
KNN,raw,1,Test,2,6,Cammeo
KNN,raw,1,Train,4,7,Cammeo
KNN,raw,1,Train,5,8,Cammeo
KNN,raw,1,Test,3,9,Cammeo
KNN,raw,1,Train,6,10,Cammeo
KNN,raw,1,Train,7,11,Cammeo
KNN,raw,1,Train,8,12,Cammeo
KNN,raw,1,Train,9,13,Cammeo
KNN,raw,1,Train,10,14,Cammeo
KNN,raw,1,Test,4,15,Cammeo
KNN,raw,1,Train,11,16,Cammeo
KNN,raw,1,Test,5,17,Cammeo
KNN,raw,1,Train,12,18,Cammeo
KNN,raw,1,Train,13,19,Cammeo
KNN,raw,1,Train,14,20,Cammeo
KNN,raw,1,Train,15,21,Cammeo
KNN,raw,1,Test,6,22,Cammeo
KNN,raw,1,Test,7,23,Cammeo
KNN,raw,1,Train,16,24,Cammeo
KNN,raw,1,Test,8,25,Cammeo
KNN,raw,1,Train,17,26,Cammeo
KNN,raw,1,Train,18,27,Cammeo
KNN,raw,1,Train,19,28,Cammeo
KNN,raw,1,Test,9,29,Cammeo
KNN,raw,1,Train,20,30,Cammeo
KNN,raw,1,Train,21,31,Cammeo
KNN,raw,1,Train,22,32,Cammeo
KNN,raw,1,Test,10,33,Cammeo
KNN,raw,1,Test,11,34,Cammeo
KNN,raw,1,Test,12,35,Cammeo
KNN,raw,1,Train,23,36,Cammeo
KNN,raw,1,Train,24,37,Cammeo
KNN,raw,1,Train,25,38,Cammeo
KNN,raw,1,Train,26,39,Cammeo
KNN,raw,1,Train,27,40,Cammeo
KNN,raw,1,Train,28,41,Cammeo
KNN,raw,1,Train,29,42,Cammeo
KNN,raw,1,Test,13,43,Cammeo
KNN,raw,1,Train,30,44,Cammeo
KNN,raw,1,Train,31,45,Cammeo
KNN,raw,1,Train,32,46,Cammeo
KNN,raw,1,Test,14,47,Cammeo
KNN,raw,1,Train,33,48,Cammeo
KNN,raw,1,Train,34,49,Cammeo
KNN,raw,1,Train,35,50,Cammeo
KNN,raw,1,Train,36,51,Cammeo
KNN,raw,1,Train,37,52,Cammeo
KNN,raw,1,Test,15,53,Cammeo
KNN,raw,1,Train,38,54,Cammeo
KNN,raw,1,Train,39,55,Cammeo
KNN,raw,1,Train,40,56,Cammeo
KNN,raw,1,Test,16,57,Cammeo
KNN,raw,1,Train,41,58,Cammeo
KNN,raw,1,Train,42,59,Cammeo
KNN,raw,1,Train,43,60,Cammeo
KNN,raw,1,Train,44,61,Cammeo
KNN,raw,1,Train,45,62,Cammeo
KNN,raw,1,Train,46,63,Cammeo
KNN,raw,1,Train,47,64,Cammeo
KNN,raw,1,Test,17,65,Cammeo
KNN,raw,1,Train,48,66,Cammeo
KNN,raw,1,Test,18,67,Cammeo
KNN,raw,1,Train,49,68,Cammeo
KNN,raw,1,Train,50,69,Cammeo
KNN,raw,1,Train,51,70,Cammeo
KNN,raw,1,Train,52,71,Cammeo
KNN,raw,1,Train,53,72,Cammeo
KNN,raw,1,Train,54,73,Cammeo
KNN,raw,1,Train,55,74,Cammeo
KNN,raw,1,Train,56,75,Cammeo
KNN,raw,1,Train,57,76,Cammeo
KNN,raw,1,Test,19,77,Cammeo
KNN,raw,1,Train,58,78,Cammeo
KNN,raw,1,Train,59,79,Cammeo
KNN,raw,1,Train,60,80,Cammeo
KNN,raw,1,Train,61,81,Cammeo
KNN,raw,1,Train,62,82,Cammeo
KNN,raw,1,Train,63,83,Cammeo
KNN,raw,1,Train,64,84,Cammeo
KNN,raw,1,Train,65,85,Cammeo
KNN,raw,1,Test,20,86,Cammeo
KNN,raw,1,Train,66,87,Cammeo
KNN,raw,1,Train,67,88,Cammeo
KNN,raw,1,Train,68,89,Cammeo
KNN,raw,1,Train,69,90,Cammeo
KNN,raw,1,Test,21,91,Cammeo
KNN,raw,1,Test,22,92,Cammeo
KNN,raw,1,Test,23,93,Cammeo
KNN,raw,1,Train,70,94,Cammeo
KNN,raw,1,Train,71,95,Cammeo
KNN,raw,1,Train,72,96,Cammeo
KNN,raw,1,Train,73,97,Cammeo
KNN,raw,1,Train,74,98,Cammeo
KNN,raw,1,Train,75,99,Cammeo
KNN,raw,1,Train,76,100,Cammeo
KNN,raw,1,Train,77,101,Cammeo
KNN,raw,1,Test,24,102,Cammeo
KNN,raw,1,Train,78,103,Cammeo
KNN,raw,1,Train,79,104,Cammeo
KNN,raw,1,Train,80,105,Cammeo
KNN,raw,1,Train,81,106,Cammeo
KNN,raw,1,Train,82,107,Cammeo
KNN,raw,1,Train,83,108,Cammeo
KNN,raw,1,Test,25,109,Cammeo
KNN,raw,1,Train,84,110,Cammeo
KNN,raw,1,Train,85,111,Cammeo
KNN,raw,1,Train,86,112,Cammeo
KNN,raw,1,Test,26,113,Cammeo
KNN,raw,1,Train,87,114,Cammeo
KNN,raw,1,Test,27,115,Cammeo
KNN,raw,1,Train,88,116,Cammeo
KNN,raw,1,Train,89,117,Cammeo
KNN,raw,1,Train,90,118,Cammeo
KNN,raw,1,Train,91,119,Cammeo
KNN,raw,1,Train,92,120,Cammeo
KNN,raw,1,Train,93,121,Cammeo
KNN,raw,1,Test,28,122,Cammeo
KNN,raw,1,Train,94,123,Cammeo
KNN,raw,1,Train,95,124,Cammeo
KNN,raw,1,Test,29,125,Cammeo
KNN,raw,1,Train,96,126,Cammeo
KNN,raw,1,Train,97,127,Cammeo
KNN,raw,1,Train,98,128,Cammeo
KNN,raw,1,Train,99,129,Cammeo
KNN,raw,1,Train,100,130,Cammeo
KNN,raw,1,Train,101,131,Cammeo
KNN,raw,1,Train,102,132,Cammeo
KNN,raw,1,Train,103,133,Cammeo
KNN,raw,1,Train,104,134,Cammeo
KNN,raw,1,Train,105,135,Cammeo
KNN,raw,1,Train,106,136,Cammeo
KNN,raw,1,Test,30,137,Cammeo
KNN,raw,1,Test,31,138,Cammeo
KNN,raw,1,Test,32,139,Cammeo
KNN,raw,1,Train,107,140,Cammeo
KNN,raw,1,Test,33,141,Cammeo
KNN,raw,1,Train,108,142,Cammeo
KNN,raw,1,Test,34,143,Cammeo
KNN,raw,1,Train,109,144,Cammeo
KNN,raw,1,Test,35,145,Cammeo
KNN,raw,1,Train,110,146,Cammeo
KNN,raw,1,Train,111,147,Cammeo
KNN,raw,1,Train,112,148,Cammeo
KNN,raw,1,Test,36,149,Cammeo
KNN,raw,1,Train,113,150,Cammeo
KNN,raw,1,Train,114,151,Cammeo
KNN,raw,1,Train,115,152,Cammeo
KNN,raw,1,Train,116,153,Cammeo
KNN,raw,1,Train,117,154,Cammeo
KNN,raw,1,Test,37,155,Cammeo
KNN,raw,1,Train,118,156,Cammeo
KNN,raw,1,Train,119,157,Cammeo
KNN,raw,1,Test,38,158,Cammeo
KNN,raw,1,Train,120,159,Cammeo
KNN,raw,1,Train,121,160,Cammeo
KNN,raw,1,Test,39,161,Cammeo
KNN,raw,1,Train,122,162,Cammeo
KNN,raw,1,Train,123,163,Cammeo
KNN,raw,1,Train,124,164,Cammeo
KNN,raw,1,Train,125,165,Cammeo
KNN,raw,1,Train,126,166,Cammeo
KNN,raw,1,Train,127,167,Cammeo
KNN,raw,1,Train,128,168,Cammeo
KNN,raw,1,Train,129,169,Cammeo
KNN,raw,1,Train,130,170,Cammeo
KNN,raw,1,Train,131,171,Cammeo
KNN,raw,1,Train,132,172,Cammeo
KNN,raw,1,Train,133,173,Cammeo
KNN,raw,1,Train,134,174,Cammeo
KNN,raw,1,Test,40,175,Cammeo
KNN,raw,1,Train,135,176,Cammeo
KNN,raw,1,Test,41,177,Cammeo
KNN,raw,1,Train,136,178,Cammeo
KNN,raw,1,Train,137,179,Cammeo
KNN,raw,1,Train,138,180,Cammeo
KNN,raw,1,Train,139,181,Cammeo
KNN,raw,1,Train,140,182,Cammeo
KNN,raw,1,Test,42,183,Cammeo
KNN,raw,1,Train,141,184,Cammeo
KNN,raw,1,Train,142,185,Cammeo
KNN,raw,1,Train,143,186,Cammeo
KNN,raw,1,Test,43,187,Cammeo
KNN,raw,1,Train,144,188,Cammeo
KNN,raw,1,Train,145,189,Cammeo
KNN,raw,1,Train,146,190,Cammeo
KNN,raw,1,Train,147,191,Cammeo
KNN,raw,1,Train,148,192,Cammeo
KNN,raw,1,Test,44,193,Cammeo
KNN,raw,1,Test,45,194,Cammeo
KNN,raw,1,Train,149,195,Cammeo
KNN,raw,1,Train,150,196,Cammeo
KNN,raw,1,Train,151,197,Cammeo
KNN,raw,1,Train,152,198,Cammeo
KNN,raw,1,Train,153,199,Cammeo
KNN,raw,1,Train,154,200,Cammeo
KNN,raw,1,Train,155,201,Cammeo
KNN,raw,1,Train,156,202,Cammeo
KNN,raw,1,Train,157,203,Cammeo
KNN,raw,1,Train,158,204,Cammeo
KNN,raw,1,Train,159,205,Cammeo
KNN,raw,1,Test,46,206,Cammeo
KNN,raw,1,Test,47,207,Cammeo
KNN,raw,1,Train,160,208,Cammeo
KNN,raw,1,Test,48,209,Cammeo
KNN,raw,1,Train,161,210,Cammeo
KNN,raw,1,Train,162,211,Cammeo
KNN,raw,1,Train,163,212,Cammeo
KNN,raw,1,Test,49,213,Cammeo
KNN,raw,1,Train,164,214,Cammeo
KNN,raw,1,Train,165,215,Cammeo
KNN,raw,1,Train,166,216,Cammeo
KNN,raw,1,Train,167,217,Cammeo
KNN,raw,1,Train,168,218,Cammeo
KNN,raw,1,Train,169,219,Cammeo
KNN,raw,1,Train,170,220,Cammeo
KNN,raw,1,Train,171,221,Cammeo
KNN,raw,1,Train,172,222,Cammeo
KNN,raw,1,Train,173,223,Cammeo
KNN,raw,1,Train,174,224,Cammeo
KNN,raw,1,Train,175,225,Cammeo
KNN,raw,1,Train,176,226,Cammeo
KNN,raw,1,Train,177,227,Cammeo
KNN,raw,1,Train,178,228,Cammeo
KNN,raw,1,Train,179,229,Cammeo
KNN,raw,1,Train,180,230,Cammeo
KNN,raw,1,Test,50,231,Cammeo
KNN,raw,1,Train,181,232,Cammeo
KNN,raw,1,Train,182,233,Cammeo
KNN,raw,1,Train,183,234,Cammeo
KNN,raw,1,Train,184,235,Cammeo
KNN,raw,1,Train,185,236,Cammeo
KNN,raw,1,Test,51,237,Cammeo
KNN,raw,1,Test,52,238,Cammeo
KNN,raw,1,Train,186,239,Cammeo
KNN,raw,1,Train,187,240,Cammeo
KNN,raw,1,Train,188,241,Cammeo
KNN,raw,1,Train,189,242,Cammeo
KNN,raw,1,Test,53,243,Cammeo
KNN,raw,1,Train,190,244,Cammeo
KNN,raw,1,Train,191,245,Cammeo
KNN,raw,1,Train,192,246,Cammeo
KNN,raw,1,Train,193,247,Cammeo
KNN,raw,1,Train,194,248,Cammeo
KNN,raw,1,Train,195,249,Cammeo
KNN,raw,1,Test,54,250,Cammeo
KNN,raw,1,Train,196,251,Cammeo
KNN,raw,1,Train,197,252,Cammeo
KNN,raw,1,Train,198,253,Cammeo
KNN,raw,1,Train,199,254,Cammeo
KNN,raw,1,Train,200,255,Cammeo
KNN,raw,1,Train,201,256,Cammeo
KNN,raw,1,Train,202,257,Cammeo
KNN,raw,1,Train,203,258,Cammeo
KNN,raw,1,Train,204,259,Cammeo
KNN,raw,1,Train,205,260,Cammeo
KNN,raw,1,Train,206,261,Cammeo
KNN,raw,1,Train,207,262,Cammeo
KNN,raw,1,Train,208,263,Cammeo
KNN,raw,1,Train,209,264,Cammeo
KNN,raw,1,Test,55,265,Cammeo
KNN,raw,1,Train,210,266,Cammeo
KNN,raw,1,Train,211,267,Cammeo
KNN,raw,1,Train,212,268,Cammeo
KNN,raw,1,Test,56,269,Cammeo
KNN,raw,1,Train,213,270,Cammeo
