Algorithm,Preprocessing,Split,SampleIndex,OriginalIndex,Features,ActualClass,PredictedClass,Correct,Confidence
KNN,raw,80-20,0,3048,10589;439.7080078125;191.7048797607422;71.42118072509766;0.9280089139938354;10817;0.5109534859657288,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,1,3049,11502;429.74200439453125;178.2637481689453;83.29379272460938;0.8841250538825989;11715;0.7736077308654785,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,2,3050,12415;438.9960021972656;181.10888671875;88.23397827148438;0.873297393321991;12586;0.6016185283660889,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,3,3051,14217;472.31500244140625;196.74447631835938;92.9037857055664;0.8814886212348938;14426;0.599873423576355,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,4,3052,10842;434.27301025390625;179.43487548828125;79.00735473632812;0.8978447318077087;11251;0.545784056186676,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,5,3053,12003;433.52099609375;178.55038452148438;86.43273162841797;0.8750235438346863;12171;0.7664750814437866,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,6,3054,11630;425.5169982910156;173.09642028808594;87.19287109375;0.8638644814491272;11766;0.7816910743713379,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,7,3055,12267;429.6940002441406;171.37063598632812;92.45801544189453;0.841972291469574;12520;0.7759013175964355,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,8,3056,10297;397.125;160.8275909423828;82.35851287841797;0.8589306473731995;10488;0.7847126722335815,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,9,3057,10821;418.00201416015625;176.5582275390625;79.08771514892578;0.8940629959106445;10986;0.5904081463813782,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,10,3058,11393;415.79998779296875;164.91043090820312;88.90424346923828;0.8422377705574036;11638;0.6955433487892151,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,11,3059,11901;436.1409912109375;174.57289123535156;88.44688415527344;0.8621534109115601;12172;0.5830965042114258,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,12,3060,11759;429.3380126953125;169.32891845703125;89.80245208740234;0.8477830290794373;12011;0.6704869270324707,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,13,3061,12573;444.96099853515625;180.3715057373047;89.74238586425781;0.8674399256706238;12827;0.6629230976104736,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,14,3062,12325;454.04901123046875;192.69505310058594;82.55290985107422;0.9035834074020386;12583;0.7860331535339355,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,15,3063,13443;459.7309875488281;188.01235961914062;92.69482421875;0.870015025138855;13707;0.7420102953910828,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,16,3064,12171;431.9490051269531;174.38002014160156;90.05057525634766;0.856344997882843;12366;0.618822455406189,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,17,3065,13580;460.54901123046875;192.75961303710938;90.22404479980469;0.8836939930915833;13753;0.794152021408081,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,18,3066,11681;422.04901123046875;174.08575439453125;85.92031860351562;0.869716465473175;11832;0.6090198159217834,Osmancik,Osmancik,1,1.0000
